Gesture,Precision,Recall,F1-score,Support
Maju,1.0,0.96,0.9795918367346939,50
Stop,0.8490566037735849,0.9,0.8737864077669902,50
Kiri,0.9038461538461539,0.94,0.9215686274509803,50
Kanan,1.0,0.94,0.9690721649484536,50
